canton,energyreporter_date,solar_power_installed_kwp
TG,2023-01-31,207348
TG,2023-02-28,213297
TG,2023-03-31,216555
TG,2023-04-30,224017
TG,2023-05-31,229548
TG,2023-06-30,238620
TG,2023-07-31,242556
TG,2023-08-31,248247
TG,2023-09-30,248247
TG,2023-10-31,251258
TG,2023-11-30,254875
TG,2023-12-31,272986
TG,2024-01-31,282364
TG,2024-02-29,282364
TG,2024-03-31,282364
TG,2024-04-30,308368
TG,2024-05-31,319356
TG,2024-06-30,319356
TG,2024-07-31,339855
TG,2024-08-31,339855
TG,2024-09-30,357018
TI,2021-03-31,93218
TI,2021-04-30,93219
TI,2021-05-31,101834
TI,2021-06-30,105653
TI,2021-07-31,106765
TI,2021-08-31,106765
TI,2021-09-30,108223
TI,2021-10-31,110113
TI,2021-11-30,111661
TI,2021-12-31,113795
TI,2022-01-31,113917
TI,2022-02-28,114714
TI,2022-03-31,116921
TI,2022-04-30,118453
TI,2022-05-31,122225
TI,2022-06-30,124338
TI,2022-07-31,123940
TI,2022-08-31,126408
TI,2022-09-30,129599
TI,2022-10-31,129599
TI,2022-11-30,132549
TI,2022-12-31,140249
TI,2023-01-31,140249
TI,2023-02-28,143847
TI,2023-03-31,147747
TI,2023-04-30,153705
TI,2023-05-31,155646
TI,2023-06-30,161131
TI,2023-07-31,164970
TI,2023-08-31,170653
TI,2023-09-30,170653
TI,2023-10-31,173993
TI,2023-11-30,181172
TI,2023-12-31,200030
TI,2024-01-31,209652
TI,2024-02-29,209652
TI,2024-03-31,209652
TI,2024-04-30,228155
TI,2024-05-31,237689
TI,2024-06-30,237689
TI,2024-07-31,255097
TI,2024-08-31,255097
TI,2024-09-30,266511
UR,2021-03-31,5312
UR,2021-04-30,5312
UR,2021-05-31,6173
UR,2021-06-30,6736
UR,2021-07-31,6888
UR,2021-08-31,6888
UR,2021-09-30,6998
UR,2021-10-31,7227
UR,2021-11-30,7361
UR,2021-12-31,7822
UR,2022-01-31,7822
UR,2022-02-28,7858
UR,2022-03-31,8179
UR,2022-04-30,8415
UR,2022-05-31,8752
UR,2022-06-30,8940
UR,2022-07-31,8937
UR,2022-08-31,8973
UR,2022-09-30,9199
UR,2022-10-31,9199
UR,2022-11-30,9425
UR,2022-12-31,9942
UR,2023-01-31,9942
UR,2023-02-28,10140
UR,2023-03-31,10767
UR,2023-04-30,10993
UR,2023-05-31,11123
UR,2023-06-30,12556
UR,2023-07-31,12674
UR,2023-08-31,13217
UR,2023-09-30,13217
UR,2023-10-31,13308
UR,2023-11-30,13489
UR,2023-12-31,14792
UR,2024-01-31,15603
UR,2024-02-29,15603
UR,2024-03-31,15603
UR,2024-04-30,16848
UR,2024-05-31,17479
UR,2024-06-30,17479
UR,2024-07-31,18479
UR,2024-08-31,18479
UR,2024-09-30,19215
VD,2021-03-31,227549
VD,2021-04-30,227549
VD,2021-05-31,255840
VD,2021-06-30,261201
VD,2021-07-31,263270
VD,2021-08-31,264621
VD,2021-09-30,269105
VD,2021-10-31,276638
VD,2021-11-30,281021
VD,2021-12-31,287105
VD,2022-01-31,287131
VD,2022-02-28,288447
VD,2022-03-31,293138
VD,2022-04-30,297217
VD,2022-05-31,305048
VD,2022-06-30,308177
VD,2022-07-31,306832
VD,2022-08-31,313136
VD,2022-09-30,317832
VD,2022-10-31,317832
VD,2022-11-30,325485
VD,2022-12-31,334137
VD,2023-01-31,334124
VD,2023-02-28,337926
VD,2023-03-31,343174
VD,2023-04-30,352111
VD,2023-05-31,356770
VD,2023-06-30,362584
VD,2023-07-31,367659
VD,2023-08-31,375908
VD,2023-09-30,375908
VD,2023-10-31,380438
VD,2023-11-30,387619
VD,2023-12-31,405823
VD,2024-01-31,415783
VD,2024-02-29,415784
VD,2024-03-31,415785
VD,2024-04-30,450134
VD,2024-05-31,461896
VD,2024-06-30,461896
VD,2024-07-31,489310
VD,2024-08-31,489310
VD,2024-09-30,515479
VS,2021-03-31,106043
VS,2021-04-30,106043
VS,2021-05-31,119694
VS,2021-06-30,122105
VS,2021-07-31,125247
VS,2021-08-31,125247
VS,2021-09-30,127148
VS,2021-10-31,131244
VS,2021-11-30,132902
VS,2021-12-31,136557
VS,2022-01-31,136627
VS,2022-02-28,137825
VS,2022-03-31,140392
VS,2022-04-30,142225
VS,2022-05-31,145567
VS,2022-06-30,147180
VS,2022-07-31,145974
VS,2022-08-31,148802
VS,2022-09-30,150272
VS,2022-10-31,150273
VS,2022-11-30,153475
VS,2022-12-31,160910
VS,2023-01-31,160910
VS,2023-02-28,163208
VS,2023-03-31,166340
VS,2023-04-30,171243
VS,2023-05-31,173322
VS,2023-06-30,178532
VS,2023-07-31,181808
VS,2023-08-31,184431
VS,2023-09-30,184431
VS,2023-10-31,187291
VS,2023-11-30,192000
VS,2023-12-31,203972
VS,2024-01-31,210111
VS,2024-02-29,210111
VS,2024-03-31,210111
VS,2024-04-30,228924
VS,2024-05-31,234533
VS,2024-06-30,234533
VS,2024-07-31,248805
VS,2024-08-31,248805
VS,2024-09-30,260326
ZG,2021-03-31,32968
ZG,2021-04-30,32968
ZG,2021-05-31,39584
ZG,2021-06-30,40121
ZG,2021-07-31,40430
ZG,2021-08-31,40430
ZG,2021-09-30,40828
ZG,2021-10-31,41426
ZG,2021-11-30,41949
ZG,2021-12-31,43027
ZG,2022-01-31,43027
ZG,2022-02-28,43589
ZG,2022-03-31,44038
ZG,2022-04-30,44674
ZG,2022-05-31,45503
ZG,2022-06-30,45748
ZG,2022-07-31,45711
ZG,2022-08-31,46351
ZG,2022-09-30,47486
ZG,2022-10-31,47486
ZG,2022-11-30,48737
ZG,2022-12-31,51122
ZG,2023-01-31,51122
ZG,2023-02-28,52546
ZG,2023-03-31,53195
ZG,2023-04-30,54466
ZG,2023-05-31,54618
ZG,2023-06-30,56666
ZG,2023-07-31,57076
ZG,2023-08-31,60658
